target,topic,count
Jan 2017,like know security need want don looking ve just help,34
Jan 2017,ransomware just like really new good data want help key,16
Jan 2017,server send email time web bank wondering dark just know,6
Jan 2017,security https network secure data use says devices information online,6
Jan 2017,market doc word ticket user link bug article used malicious,3
Jan 2017,ip server connect internet darknet legit irc cert accessing supply,3
Jan 2017,server pollen using encryption right doesn running just world weeks,3
Jan 2017,computer unlock program use looking encrypt obviously mdma sellers recently,1
Jan 2017,com net forums org forum password passwords accounts community uk,1
Feb 2017,like know security need want don looking ve just help,45
Feb 2017,security https network secure data use says devices information online,33
Feb 2017,ransomware just like really new good data want help key,17
Feb 2017,server send email time web bank wondering dark just know,10
Feb 2017,com net forums org forum password passwords accounts community uk,6
Feb 2017,computer unlock program use looking encrypt obviously mdma sellers recently,3
Feb 2017,server pollen using encryption right doesn running just world weeks,3
Feb 2017,ip server connect internet darknet legit irc cert accessing supply,1
Mar 2017,like know security need want don looking ve just help,55
Mar 2017,security https network secure data use says devices information online,21
Mar 2017,ransomware just like really new good data want help key,18
Mar 2017,server pollen using encryption right doesn running just world weeks,5
Mar 2017,com net forums org forum password passwords accounts community uk,4
Mar 2017,server send email time web bank wondering dark just know,4
Mar 2017,ip server connect internet darknet legit irc cert accessing supply,2
